,city,latitude,Longitude,Temperature Max,Humidity,Cloudiness,Wind Speed,Country
0,cervo,43.6702,-7.4101,8.33,100,98,0.45,ES
1,mataura,-46.1927,168.8643,8.33,71,98,7.6,NZ
2,luderitz,-26.6481,15.1594,16.5,88,96,1.53,NA
3,ushuaia,-54.8,-68.3,8.0,76,75,5.66,AR
4,castro,-24.7911,-50.0119,13.19,96,80,1.13,BR
5,pevek,69.7008,170.3133,-3.55,84,99,1.04,RU
6,turangi,-39.0,175.9333,11.06,58,63,3.21,NZ
7,carnarvon,-24.8667,113.6333,34.0,18,0,2.57,AU
8,saint-philippe,-21.3585,55.7679,26.0,69,0,8.23,RE
9,khandyga,62.6667,135.6,0.0,92,100,3.02,RU
10,mahebourg,-20.4081,57.7,25.0,88,75,6.69,MU
11,bambous virieux,-20.3428,57.7575,25.0,88,75,6.69,MU
12,omsukchan,62.5333,155.8,-6.82,65,100,1.37,RU
13,hobart,-42.8794,147.3294,19.0,45,40,8.23,AU
14,avarua,-21.2078,-159.775,27.0,78,20,2.57,CK
15,hermanus,-34.4187,19.2345,15.56,92,1,3.13,ZA
16,constitucion,-35.3333,-72.4167,13.55,77,0,3.7,CL
17,tiksi,71.6872,128.8694,-2.73,94,100,6.14,RU
18,ibra,22.6906,58.5334,29.3,23,47,1.53,OM
19,katherine,-14.4667,132.2667,32.0,51,90,5.66,AU
20,yellowknife,62.456,-114.3525,-14.0,78,90,5.66,CA
21,cairns,-16.9167,145.7667,24.0,94,90,6.17,AU
22,kapaa,22.0752,-159.319,24.0,73,40,6.17,US
23,yanam,16.7333,82.2167,31.0,66,40,1.54,IN
24,kaduqli,11.0167,29.7167,25.99,64,86,3.95,SD
25,rikitea,-23.1203,-134.9692,25.49,74,28,2.14,PF
26,havoysund,70.9963,24.6622,0.0,86,75,2.57,NO
27,vaini,-21.2,-175.2,28.0,89,75,2.06,TO
28,melfort,52.8667,-104.6177,3.0,41,86,2.57,CA
29,hilo,19.7297,-155.09,23.0,83,90,3.09,US
30,chuy,-33.6971,-53.4616,14.91,80,55,3.72,UY
31,katsuura,35.1333,140.3,17.22,25,20,7.72,JP
32,vanavara,60.34,102.2797,0.23,65,83,5.82,RU
33,kidal,18.4411,1.4078,28.23,8,5,1.13,ML
34,nome,64.5011,-165.4064,7.0,57,90,2.57,US
35,cherskiy,68.75,161.3,-5.17,72,91,2.89,RU
36,ponta do sol,32.6667,-17.1,15.0,83,45,2.24,PT
37,arrecife,28.963,-13.5477,18.0,77,0,2.06,ES
38,ribeira grande,38.5167,-28.7,15.0,72,20,2.06,PT
39,moron,-34.6534,-58.6198,16.11,97,9,1.88,AR
40,albany,42.6001,-73.9662,6.67,51,54,6.26,US
41,tuktoyaktuk,69.4541,-133.0374,-10.0,79,90,3.6,CA
42,punta arenas,-53.15,-70.9167,7.0,93,90,2.57,CL
43,kant,27.8,79.8,35.82,5,0,3.6,IN
